grid_id,centroid_lon,centroid_lat,mapsheet,obs_sum,spp_rich
1026,28.75,-22.25004238,E028S23BB,3,2
1027,29.25,-22.25004238,E029S23BB,41,31
1028,29.75,-22.25004238,E029S23BB,10,10
1029,30.25,-22.25004238,E030S23BB,7,7
1030,30.75,-22.25004238,E030S23BB,6,6
1031,31.25,-22.25004238,E031S23BB,107,76
117,18.25,-34.25000615,E018S35BB,4246,231
118,18.75,-34.25000615,E018S35BB,2202,215
119,19.25,-34.25000615,E019S35BB,989,173
120,19.75,-34.25000615,E019S35BB,418,128
121,20.25,-34.25000615,E020S35BB,211,91
122,20.75,-34.25000615,E020S35BB,146,81
123,21.25,-34.25000615,E021S35BB,325,159
124,21.75,-34.25000615,E021S35BB,149,83
125,22.25,-34.25000615,E022S35BB,944,259
126,22.75,-34.25000615,E022S35BB,384,117
127,23.25,-34.25000615,E023S35BB,808,185
128,23.75,-34.25000615,E023S35BB,50,33
129,24.25,-34.25000615,E024S35BB,18,15
130,24.75,-34.25000615,E024S35BB,76,48
131,25.25,-34.25000615,E025S35BB,44,27
132,25.75,-34.25000615,E025S35BB,123,70
154,18.25,-33.75000898,E018S34BB,2893,186
155,18.75,-33.75000898,E018S34BB,1875,160
156,19.25,-33.75000898,E019S34BB,346,124
157,19.75,-33.75000898,E019S34BB,142,73
158,20.25,-33.75000898,E020S34BB,669,197
159,20.75,-33.75000898,E020S34BB,175,86
160,21.25,-33.75000898,E021S34BB,66,46
161,21.75,-33.75000898,E021S34BB,117,63
162,22.25,-33.75000898,E022S34BB,2859,335
163,22.75,-33.75000898,E022S34BB,1134,227
164,23.25,-33.75000898,E023S34BB,272,125
165,23.75,-33.75000898,E023S34BB,281,113
166,24.25,-33.75000898,E024S34BB,12,11
167,24.75,-33.75000898,E024S34BB,74,50
168,25.25,-33.75000898,E025S34BB,226,100
169,25.75,-33.75000898,E025S34BB,717,155
170,26.25,-33.75000898,E026S34BB,77,59
171,26.75,-33.75000898,E026S34BB,902,356
