species
Acraea horta
Amata cerbera
Bicyclus safitza safitza
Cacyreus lingeus
Charaxes wakefieldi
Danaus chrysippus orientis
Dira clytus clytus
Eutricha capensis
Hypolimnas misippus
Junonia elgiva
Junonia natalica natalica
Junonia oenone oenone
Leptotes pirithous
Mesocelis monticola
Mylothris agathina agathina
Nudaurelia cytherea
Papilio demodocus demodocus
Pieris brassicae
Precis archesia archesia
Protogoniomorpha parhassus
Rhodogastria amasis
Rubraea petraea
Telchinia encedon encedon
Telchinia esebria
Telchinia serena
Utetheisa pulchella
Vanessa cardui
