site_id,x,y
1026,28.75,-22.25004238
1027,29.25,-22.25004238
1028,29.75,-22.25004238
1029,30.25,-22.25004238
1030,30.75,-22.25004238
1031,31.25,-22.25004238
117,18.25,-34.25000615
118,18.75,-34.25000615
119,19.25,-34.25000615
120,19.75,-34.25000615
121,20.25,-34.25000615
122,20.75,-34.25000615
123,21.25,-34.25000615
124,21.75,-34.25000615
125,22.25,-34.25000615
126,22.75,-34.25000615
127,23.25,-34.25000615
128,23.75,-34.25000615
129,24.25,-34.25000615
130,24.75,-34.25000615
131,25.25,-34.25000615
132,25.75,-34.25000615
154,18.25,-33.75000898
155,18.75,-33.75000898
156,19.25,-33.75000898
157,19.75,-33.75000898
158,20.25,-33.75000898
159,20.75,-33.75000898
160,21.25,-33.75000898
161,21.75,-33.75000898
162,22.25,-33.75000898
163,22.75,-33.75000898
164,23.25,-33.75000898
165,23.75,-33.75000898
166,24.25,-33.75000898
167,24.75,-33.75000898
168,25.25,-33.75000898
169,25.75,-33.75000898
170,26.25,-33.75000898
171,26.75,-33.75000898
172,27.25,-33.75000898
190,17.75,-33.25001169
191,18.25,-33.25001169
192,18.75,-33.25001169
193,19.25,-33.25001169
194,19.75,-33.25001169
195,20.25,-33.25001169
196,20.75,-33.25001169
197,21.25,-33.25001169
198,21.75,-33.25001169
199,22.25,-33.25001169
200,22.75,-33.25001169
201,23.25,-33.25001169
202,23.75,-33.25001169
203,24.25,-33.25001169
204,24.75,-33.25001169
205,25.25,-33.25001169
206,25.75,-33.25001169
207,26.25,-33.25001169
208,26.75,-33.25001169
209,27.25,-33.25001169
210,27.75,-33.25001169
227,17.75,-32.75001426
228,18.25,-32.75001426
229,18.75,-32.75001426
230,19.25,-32.75001426
231,19.75,-32.75001426
232,20.25,-32.75001426
233,20.75,-32.75001426
235,21.75,-32.75001426
236,22.25,-32.75001426
237,22.75,-32.75001426
238,23.25,-32.75001426
239,23.75,-32.75001426
240,24.25,-32.75001426
241,24.75,-32.75001426
242,25.25,-32.75001426
243,25.75,-32.75001426
244,26.25,-32.75001426
245,26.75,-32.75001426
246,27.25,-32.75001426
247,27.75,-32.75001426
248,28.25,-32.75001426
249,28.75,-32.75001426
265,18.25,-32.25001671
266,18.75,-32.25001671
267,19.25,-32.25001671
268,19.75,-32.25001671
269,20.25,-32.25001671
270,20.75,-32.25001671
271,21.25,-32.25001671
272,21.75,-32.25001671
273,22.25,-32.25001671
274,22.75,-32.25001671
275,23.25,-32.25001671
276,23.75,-32.25001671
277,24.25,-32.25001671
278,24.75,-32.25001671
279,25.25,-32.25001671
280,25.75,-32.25001671
281,26.25,-32.25001671
282,26.75,-32.25001671
283,27.25,-32.25001671
284,27.75,-32.25001671
286,28.75,-32.25001671
287,29.25,-32.25001671
302,18.25,-31.75001904
303,18.75,-31.75001904
304,19.25,-31.75001904
305,19.75,-31.75001904
306,20.25,-31.75001904
307,20.75,-31.75001904
310,22.25,-31.75001904
312,23.25,-31.75001904
314,24.25,-31.75001904
315,24.75,-31.75001904
316,25.25,-31.75001904
318,26.25,-31.75001904
319,26.75,-31.75001904
322,28.25,-31.75001904
323,28.75,-31.75001904
324,29.25,-31.75001904
325,29.75,-31.75001904
339,18.25,-31.25002124
340,18.75,-31.25002124
341,19.25,-31.25002124
342,19.75,-31.25002124
343,20.25,-31.25002124
347,22.25,-31.25002124
348,22.75,-31.25002124
349,23.25,-31.25002124
350,23.75,-31.25002124
351,24.25,-31.25002124
352,24.75,-31.25002124
353,25.25,-31.25002124
354,25.75,-31.25002124
355,26.25,-31.25002124
357,27.25,-31.25002124
358,27.75,-31.25002124
359,28.25,-31.25002124
360,28.75,-31.25002124
362,29.75,-31.25002124
363,30.25,-31.25002124
374,17.25,-30.75002333
375,17.75,-30.75002333
376,18.25,-30.75002333
377,18.75,-30.75002333
378,19.25,-30.75002333
380,20.25,-30.75002333
383,21.75,-30.75002333
384,22.25,-30.75002333
385,22.75,-30.75002333
386,23.25,-30.75002333
387,23.75,-30.75002333
388,24.25,-30.75002333
389,24.75,-30.75002333
390,25.25,-30.75002333
391,25.75,-30.75002333
392,26.25,-30.75002333
393,26.75,-30.75002333
394,27.25,-30.75002333
395,27.75,-30.75002333
396,28.25,-30.75002333
398,29.25,-30.75002333
399,29.75,-30.75002333
400,30.25,-30.75002333
401,30.75,-30.75002333
411,17.25,-30.25002529
412,17.75,-30.25002529
413,18.25,-30.25002529
417,20.25,-30.25002529
424,23.75,-30.25002529
425,24.25,-30.25002529
427,25.25,-30.25002529
428,25.75,-30.25002529
429,26.25,-30.25002529
431,27.25,-30.25002529
433,28.25,-30.25002529
434,28.75,-30.25002529
435,29.25,-30.25002529
436,29.75,-30.25002529
437,30.25,-30.25002529
438,30.75,-30.25002529
448,17.25,-29.75002714
449,17.75,-29.75002714
450,18.25,-29.75002714
