site_id,x,y,species,count
1026,28.75,-22.25004238,Acraea horta,10
1026,28.75,-22.25004238,Amata cerbera,0
1026,28.75,-22.25004238,Bicyclus safitza safitza,0
1026,28.75,-22.25004238,Cacyreus lingeus,0
1026,28.75,-22.25004238,Charaxes wakefieldi,9
1026,28.75,-22.25004238,Danaus chrysippus orientis,8
1026,28.75,-22.25004238,Dira clytus clytus,8
1026,28.75,-22.25004238,Eutricha capensis,3
1026,28.75,-22.25004238,Hypolimnas misippus,19
1026,28.75,-22.25004238,Junonia elgiva,0
1026,28.75,-22.25004238,Junonia natalica natalica,9
1026,28.75,-22.25004238,Junonia oenone oenone,9
1026,28.75,-22.25004238,Leptotes pirithous,6
1026,28.75,-22.25004238,Mesocelis monticola,13
1026,28.75,-22.25004238,Mylothris agathina agathina,6
1026,28.75,-22.25004238,Nudaurelia cytherea,20
1026,28.75,-22.25004238,Papilio demodocus demodocus,0
1026,28.75,-22.25004238,Pieris brassicae,6
1026,28.75,-22.25004238,Precis archesia archesia,6
1026,28.75,-22.25004238,Protogoniomorpha parhassus,0
1026,28.75,-22.25004238,Rhodogastria amasis,0
1026,28.75,-22.25004238,Rubraea petraea,0
1026,28.75,-22.25004238,Telchinia encedon encedon,0
1026,28.75,-22.25004238,Telchinia esebria,26
1026,28.75,-22.25004238,Telchinia serena,7
1026,28.75,-22.25004238,Utetheisa pulchella,0
1026,28.75,-22.25004238,Vanessa cardui,7
1027,29.25,-22.25004238,Acraea horta,0
1027,29.25,-22.25004238,Amata cerbera,7
1027,29.25,-22.25004238,Bicyclus safitza safitza,0
1027,29.25,-22.25004238,Cacyreus lingeus,0
1027,29.25,-22.25004238,Charaxes wakefieldi,0
1027,29.25,-22.25004238,Danaus chrysippus orientis,0
1027,29.25,-22.25004238,Dira clytus clytus,0
1027,29.25,-22.25004238,Eutricha capensis,0
1027,29.25,-22.25004238,Hypolimnas misippus,0
1027,29.25,-22.25004238,Junonia elgiva,0
1027,29.25,-22.25004238,Junonia natalica natalica,0
1027,29.25,-22.25004238,Junonia oenone oenone,8
1027,29.25,-22.25004238,Leptotes pirithous,2
1027,29.25,-22.25004238,Mesocelis monticola,8
1027,29.25,-22.25004238,Mylothris agathina agathina,9
1027,29.25,-22.25004238,Nudaurelia cytherea,30
1027,29.25,-22.25004238,Papilio demodocus demodocus,7
1027,29.25,-22.25004238,Pieris brassicae,0
1027,29.25,-22.25004238,Precis archesia archesia,14
1027,29.25,-22.25004238,Protogoniomorpha parhassus,7
1027,29.25,-22.25004238,Rhodogastria amasis,0
1027,29.25,-22.25004238,Rubraea petraea,0
1027,29.25,-22.25004238,Telchinia encedon encedon,0
1027,29.25,-22.25004238,Telchinia esebria,0
1027,29.25,-22.25004238,Telchinia serena,0
1027,29.25,-22.25004238,Utetheisa pulchella,0
1027,29.25,-22.25004238,Vanessa cardui,0
1028,29.75,-22.25004238,Acraea horta,0
1028,29.75,-22.25004238,Amata cerbera,0
1028,29.75,-22.25004238,Bicyclus safitza safitza,0
1028,29.75,-22.25004238,Cacyreus lingeus,0
1028,29.75,-22.25004238,Charaxes wakefieldi,7
1028,29.75,-22.25004238,Danaus chrysippus orientis,0
1028,29.75,-22.25004238,Dira clytus clytus,0
1028,29.75,-22.25004238,Eutricha capensis,0
1028,29.75,-22.25004238,Hypolimnas misippus,31
1028,29.75,-22.25004238,Junonia elgiva,6
1028,29.75,-22.25004238,Junonia natalica natalica,7
1028,29.75,-22.25004238,Junonia oenone oenone,15
1028,29.75,-22.25004238,Leptotes pirithous,2
1028,29.75,-22.25004238,Mesocelis monticola,13
1028,29.75,-22.25004238,Mylothris agathina agathina,9
1028,29.75,-22.25004238,Nudaurelia cytherea,0
1028,29.75,-22.25004238,Papilio demodocus demodocus,0
1028,29.75,-22.25004238,Pieris brassicae,0
1028,29.75,-22.25004238,Precis archesia archesia,17
1028,29.75,-22.25004238,Protogoniomorpha parhassus,0
1028,29.75,-22.25004238,Rhodogastria amasis,0
1028,29.75,-22.25004238,Rubraea petraea,0
1028,29.75,-22.25004238,Telchinia encedon encedon,13
1028,29.75,-22.25004238,Telchinia esebria,0
1028,29.75,-22.25004238,Telchinia serena,0
1028,29.75,-22.25004238,Utetheisa pulchella,0
1028,29.75,-22.25004238,Vanessa cardui,11
1029,30.25,-22.25004238,Acraea horta,0
1029,30.25,-22.25004238,Amata cerbera,31
1029,30.25,-22.25004238,Bicyclus safitza safitza,0
1029,30.25,-22.25004238,Cacyreus lingeus,0
1029,30.25,-22.25004238,Charaxes wakefieldi,0
1029,30.25,-22.25004238,Danaus chrysippus orientis,0
1029,30.25,-22.25004238,Dira clytus clytus,0
1029,30.25,-22.25004238,Eutricha capensis,3
1029,30.25,-22.25004238,Hypolimnas misippus,0
1029,30.25,-22.25004238,Junonia elgiva,11
1029,30.25,-22.25004238,Junonia natalica natalica,0
1029,30.25,-22.25004238,Junonia oenone oenone,0
1029,30.25,-22.25004238,Leptotes pirithous,9
1029,30.25,-22.25004238,Mesocelis monticola,9
1029,30.25,-22.25004238,Mylothris agathina agathina,12
1029,30.25,-22.25004238,Nudaurelia cytherea,19
1029,30.25,-22.25004238,Papilio demodocus demodocus,9
1029,30.25,-22.25004238,Pieris brassicae,0
1029,30.25,-22.25004238,Precis archesia archesia,0
1029,30.25,-22.25004238,Protogoniomorpha parhassus,7
1029,30.25,-22.25004238,Rhodogastria amasis,4
1029,30.25,-22.25004238,Rubraea petraea,0
1029,30.25,-22.25004238,Telchinia encedon encedon,11
1029,30.25,-22.25004238,Telchinia esebria,0
1029,30.25,-22.25004238,Telchinia serena,0
1029,30.25,-22.25004238,Utetheisa pulchella,4
1029,30.25,-22.25004238,Vanessa cardui,0
1030,30.75,-22.25004238,Acraea horta,0
1030,30.75,-22.25004238,Amata cerbera,12
1030,30.75,-22.25004238,Bicyclus safitza safitza,3
1030,30.75,-22.25004238,Cacyreus lingeus,0
1030,30.75,-22.25004238,Charaxes wakefieldi,26
1030,30.75,-22.25004238,Danaus chrysippus orientis,2
1030,30.75,-22.25004238,Dira clytus clytus,0
1030,30.75,-22.25004238,Eutricha capensis,0
1030,30.75,-22.25004238,Hypolimnas misippus,0
1030,30.75,-22.25004238,Junonia elgiva,18
1030,30.75,-22.25004238,Junonia natalica natalica,7
1030,30.75,-22.25004238,Junonia oenone oenone,0
1030,30.75,-22.25004238,Leptotes pirithous,11
1030,30.75,-22.25004238,Mesocelis monticola,0
1030,30.75,-22.25004238,Mylothris agathina agathina,26
1030,30.75,-22.25004238,Nudaurelia cytherea,0
1030,30.75,-22.25004238,Papilio demodocus demodocus,0
1030,30.75,-22.25004238,Pieris brassicae,0
1030,30.75,-22.25004238,Precis archesia archesia,7
1030,30.75,-22.25004238,Protogoniomorpha parhassus,9
1030,30.75,-22.25004238,Rhodogastria amasis,0
1030,30.75,-22.25004238,Rubraea petraea,1
1030,30.75,-22.25004238,Telchinia encedon encedon,0
1030,30.75,-22.25004238,Telchinia esebria,7
1030,30.75,-22.25004238,Telchinia serena,7
1030,30.75,-22.25004238,Utetheisa pulchella,0
1030,30.75,-22.25004238,Vanessa cardui,0
1031,31.25,-22.25004238,Acraea horta,0
1031,31.25,-22.25004238,Amata cerbera,7
1031,31.25,-22.25004238,Bicyclus safitza safitza,0
1031,31.25,-22.25004238,Cacyreus lingeus,0
1031,31.25,-22.25004238,Charaxes wakefieldi,9
1031,31.25,-22.25004238,Danaus chrysippus orientis,0
1031,31.25,-22.25004238,Dira clytus clytus,2
1031,31.25,-22.25004238,Eutricha capensis,4
1031,31.25,-22.25004238,Hypolimnas misippus,13
1031,31.25,-22.25004238,Junonia elgiva,0
1031,31.25,-22.25004238,Junonia natalica natalica,5
1031,31.25,-22.25004238,Junonia oenone oenone,0
1031,31.25,-22.25004238,Leptotes pirithous,0
1031,31.25,-22.25004238,Mesocelis monticola,3
1031,31.25,-22.25004238,Mylothris agathina agathina,9
1031,31.25,-22.25004238,Nudaurelia cytherea,27
1031,31.25,-22.25004238,Papilio demodocus demodocus,4
1031,31.25,-22.25004238,Pieris brassicae,8
1031,31.25,-22.25004238,Precis archesia archesia,7
1031,31.25,-22.25004238,Protogoniomorpha parhassus,1
1031,31.25,-22.25004238,Rhodogastria amasis,0
1031,31.25,-22.25004238,Rubraea petraea,0
1031,31.25,-22.25004238,Telchinia encedon encedon,0
1031,31.25,-22.25004238,Telchinia esebria,0
1031,31.25,-22.25004238,Telchinia serena,0
1031,31.25,-22.25004238,Utetheisa pulchella,0
1031,31.25,-22.25004238,Vanessa cardui,0
117,18.25,-34.25000615,Acraea horta,13
117,18.25,-34.25000615,Amata cerbera,0
117,18.25,-34.25000615,Bicyclus safitza safitza,20
117,18.25,-34.25000615,Cacyreus lingeus,11
117,18.25,-34.25000615,Charaxes wakefieldi,0
117,18.25,-34.25000615,Danaus chrysippus orientis,0
117,18.25,-34.25000615,Dira clytus clytus,0
117,18.25,-34.25000615,Eutricha capensis,70
117,18.25,-34.25000615,Hypolimnas misippus,0
117,18.25,-34.25000615,Junonia elgiva,7
117,18.25,-34.25000615,Junonia natalica natalica,0
117,18.25,-34.25000615,Junonia oenone oenone,7
117,18.25,-34.25000615,Leptotes pirithous,0
117,18.25,-34.25000615,Mesocelis monticola,0
117,18.25,-34.25000615,Mylothris agathina agathina,0
117,18.25,-34.25000615,Nudaurelia cytherea,0
117,18.25,-34.25000615,Papilio demodocus demodocus,8
117,18.25,-34.25000615,Pieris brassicae,3
117,18.25,-34.25000615,Precis archesia archesia,10
117,18.25,-34.25000615,Protogoniomorpha parhassus,9
117,18.25,-34.25000615,Rhodogastria amasis,0
117,18.25,-34.25000615,Rubraea petraea,32
117,18.25,-34.25000615,Telchinia encedon encedon,5
117,18.25,-34.25000615,Telchinia esebria,2
117,18.25,-34.25000615,Telchinia serena,18
117,18.25,-34.25000615,Utetheisa pulchella,15
117,18.25,-34.25000615,Vanessa cardui,0
118,18.75,-34.25000615,Acraea horta,0
118,18.75,-34.25000615,Amata cerbera,0
118,18.75,-34.25000615,Bicyclus safitza safitza,24
118,18.75,-34.25000615,Cacyreus lingeus,0
118,18.75,-34.25000615,Charaxes wakefieldi,0
118,18.75,-34.25000615,Danaus chrysippus orientis,0
118,18.75,-34.25000615,Dira clytus clytus,3
118,18.75,-34.25000615,Eutricha capensis,60
118,18.75,-34.25000615,Hypolimnas misippus,0
118,18.75,-34.25000615,Junonia elgiva,10
118,18.75,-34.25000615,Junonia natalica natalica,0
118,18.75,-34.25000615,Junonia oenone oenone,3
118,18.75,-34.25000615,Leptotes pirithous,0
118,18.75,-34.25000615,Mesocelis monticola,0
118,18.75,-34.25000615,Mylothris agathina agathina,0
118,18.75,-34.25000615,Nudaurelia cytherea,4
118,18.75,-34.25000615,Papilio demodocus demodocus,11
118,18.75,-34.25000615,Pieris brassicae,0
118,18.75,-34.25000615,Precis archesia archesia,0
118,18.75,-34.25000615,Protogoniomorpha parhassus,0
118,18.75,-34.25000615,Rhodogastria amasis,0
118,18.75,-34.25000615,Rubraea petraea,0
118,18.75,-34.25000615,Telchinia encedon encedon,5
118,18.75,-34.25000615,Telchinia esebria,0
118,18.75,-34.25000615,Telchinia serena,0
118,18.75,-34.25000615,Utetheisa pulchella,14
118,18.75,-34.25000615,Vanessa cardui,4
119,19.25,-34.25000615,Acraea horta,0
119,19.25,-34.25000615,Amata cerbera,0
119,19.25,-34.25000615,Bicyclus safitza safitza,15
119,19.25,-34.25000615,Cacyreus lingeus,0
119,19.25,-34.25000615,Charaxes wakefieldi,0
119,19.25,-34.25000615,Danaus chrysippus orientis,0
119,19.25,-34.25000615,Dira clytus clytus,0
119,19.25,-34.25000615,Eutricha capensis,33
119,19.25,-34.25000615,Hypolimnas misippus,0
119,19.25,-34.25000615,Junonia elgiva,0
119,19.25,-34.25000615,Junonia natalica natalica,0
119,19.25,-34.25000615,Junonia oenone oenone,0
119,19.25,-34.25000615,Leptotes pirithous,0
119,19.25,-34.25000615,Mesocelis monticola,0
119,19.25,-34.25000615,Mylothris agathina agathina,10
119,19.25,-34.25000615,Nudaurelia cytherea,0
119,19.25,-34.25000615,Papilio demodocus demodocus,0
119,19.25,-34.25000615,Pieris brassicae,16
119,19.25,-34.25000615,Precis archesia archesia,0
119,19.25,-34.25000615,Protogoniomorpha parhassus,13
119,19.25,-34.25000615,Rhodogastria amasis,0
119,19.25,-34.25000615,Rubraea petraea,0
119,19.25,-34.25000615,Telchinia encedon encedon,0
119,19.25,-34.25000615,Telchinia esebria,0
