site_id,x,y,species,count
1027,29.25,-22.25004238,Acraea horta,13
1027,29.25,-22.25004238,Amata cerbera,0
1027,29.25,-22.25004238,Bicyclus safitza safitza,0
1027,29.25,-22.25004238,Cacyreus lingeus,0
1027,29.25,-22.25004238,Charaxes wakefieldi,14
1027,29.25,-22.25004238,Danaus chrysippus orientis,0
1027,29.25,-22.25004238,Dira clytus clytus,14
1027,29.25,-22.25004238,Eutricha capensis,0
1027,29.25,-22.25004238,Hypolimnas misippus,0
1027,29.25,-22.25004238,Junonia elgiva,16
1027,29.25,-22.25004238,Junonia natalica natalica,0
1027,29.25,-22.25004238,Junonia oenone oenone,14
1027,29.25,-22.25004238,Leptotes pirithous,21
1027,29.25,-22.25004238,Mesocelis monticola,0
1027,29.25,-22.25004238,Mylothris agathina agathina,0
1027,29.25,-22.25004238,Nudaurelia cytherea,0
1027,29.25,-22.25004238,Papilio demodocus demodocus,0
1027,29.25,-22.25004238,Pieris brassicae,0
1027,29.25,-22.25004238,Precis archesia archesia,0
1027,29.25,-22.25004238,Protogoniomorpha parhassus,0
1027,29.25,-22.25004238,Rhodogastria amasis,0
1027,29.25,-22.25004238,Rubraea petraea,0
1027,29.25,-22.25004238,Telchinia encedon encedon,0
1027,29.25,-22.25004238,Telchinia esebria,12
1027,29.25,-22.25004238,Telchinia serena,0
1027,29.25,-22.25004238,Utetheisa pulchella,23
1027,29.25,-22.25004238,Vanessa cardui,16
1029,30.25,-22.25004238,Acraea horta,0
1029,30.25,-22.25004238,Amata cerbera,11
1029,30.25,-22.25004238,Bicyclus safitza safitza,0
1029,30.25,-22.25004238,Cacyreus lingeus,0
1029,30.25,-22.25004238,Charaxes wakefieldi,0
1029,30.25,-22.25004238,Danaus chrysippus orientis,0
1029,30.25,-22.25004238,Dira clytus clytus,0
1029,30.25,-22.25004238,Eutricha capensis,39
1029,30.25,-22.25004238,Hypolimnas misippus,0
1029,30.25,-22.25004238,Junonia elgiva,20
1029,30.25,-22.25004238,Junonia natalica natalica,0
1029,30.25,-22.25004238,Junonia oenone oenone,15
1029,30.25,-22.25004238,Leptotes pirithous,16
1029,30.25,-22.25004238,Mesocelis monticola,0
1029,30.25,-22.25004238,Mylothris agathina agathina,10
1029,30.25,-22.25004238,Nudaurelia cytherea,0
1029,30.25,-22.25004238,Papilio demodocus demodocus,11
1029,30.25,-22.25004238,Pieris brassicae,22
1029,30.25,-22.25004238,Precis archesia archesia,17
1029,30.25,-22.25004238,Protogoniomorpha parhassus,0
1029,30.25,-22.25004238,Rhodogastria amasis,0
1029,30.25,-22.25004238,Rubraea petraea,0
1029,30.25,-22.25004238,Telchinia encedon encedon,0
